,Cases,Deaths
2020-04-01,2168.8571428571427,29.857142857142858
2020-04-02,2468.5714285714284,36.0
2020-04-03,2772.4285714285716,43.285714285714285
2020-04-04,3094.1428571428573,51.857142857142854
2020-04-05,3427.285714285714,60.857142857142854
2020-04-06,3765.285714285714,71.0
2020-04-07,4105.0,82.28571428571429
2020-04-08,4464.285714285715,95.0
2020-04-09,4831.142857142857,107.85714285714286
2020-04-10,5226.0,120.57142857142857
2020-04-11,5621.142857142857,133.28571428571428
2020-04-12,6012.857142857143,145.85714285714286
2020-04-13,6400.0,158.0
2020-04-14,6800.142857142857,170.0
2020-04-15,7189.714285714285,182.14285714285714
2020-04-16,7594.714285714285,194.28571428571428
2020-04-17,7987.714285714285,206.14285714285714
2020-04-18,8388.142857142857,218.14285714285714
2020-04-19,8798.857142857143,232.14285714285714
2020-04-20,9224.857142857143,246.42857142857142
2020-04-21,9641.285714285714,261.2857142857143
2020-04-22,10073.142857142857,275.42857142857144
2020-04-23,10502.42857142857,290.14285714285717
2020-04-24,10938.714285714286,305.85714285714283
2020-04-25,11385.57142857143,322.0
2020-04-26,11848.857142857143,338.14285714285717
2020-04-27,12321.142857142857,355.57142857142856
2020-04-28,12825.857142857143,373.42857142857144
2020-04-29,13374.285714285714,391.7142857142857
2020-04-30,13975.857142857143,410.57142857142856
2020-05-01,14647.57142857143,430.2857142857143
2020-05-02,15444.285714285714,450.14285714285717
2020-05-03,16348.857142857143,471.42857142857144
2020-05-04,17324.571428571428,492.2857142857143
2020-05-05,18417.571428571428,513.0
2020-05-06,19548.0,535.8571428571429
2020-05-07,20770.571428571428,561.5714285714286
2020-05-08,22051.14285714286,589.1428571428571
2020-05-09,23306.0,620.8571428571429
2020-05-10,24620.714285714286,655.0
2020-05-11,25966.428571428572,692.1428571428571
2020-05-12,27352.85714285714,732.4285714285714
2020-05-13,28971.85714285714,776.8571428571429
2020-05-14,30751.714285714286,825.4285714285714
2020-05-15,32690.285714285714,876.7142857142857
2020-05-16,34720.142857142855,932.7142857142857
2020-05-17,36850.857142857145,993.5714285714286
2020-05-18,39136.0,1062.2857142857142
2020-05-19,41687.142857142855,1138.142857142857
2020-05-20,44435.142857142855,1220.5714285714287
2020-05-21,47369.57142857143,1309.4285714285713
2020-05-22,50557.42857142857,1406.5714285714287
2020-05-23,53981.0,1512.7142857142858
2020-05-24,57598.28571428572,1630.0
2020-05-25,61589.42857142857,1753.7142857142858
2020-05-26,65644.0,1888.2857142857142
2020-05-27,69740.0,2035.4285714285713
2020-05-28,73934.57142857143,2190.714285714286
2020-05-29,78046.14285714286,2357.8571428571427
2020-05-30,82255.42857142857,2532.4285714285716
2020-05-31,86624.85714285714,2711.1428571428573
2020-06-01,91076.57142857143,2900.714285714286
2020-06-02,95465.85714285714,3096.8571428571427
2020-06-03,99942.85714285714,3299.5714285714284
2020-06-04,104421.28571428571,3508.4285714285716
2020-06-05,108972.85714285714,3724.8571428571427
2020-06-06,113671.0,3949.0
2020-06-07,118594.14285714286,4179.571428571428
2020-06-08,123406.57142857143,4411.142857142857
2020-06-09,128274.14285714286,4649.571428571428
2020-06-10,133255.2857142857,4888.714285714285
2020-06-11,138369.57142857142,5134.0
2020-06-12,143847.7142857143,5378.285714285715
2020-06-13,149506.2857142857,5623.285714285715
2020-06-14,155241.0,5868.142857142857
2020-06-15,161039.57142857142,6117.571428571428
2020-06-16,166995.2857142857,6365.142857142857
2020-06-17,177299.85714285713,6612.571428571428
2020-06-18,187444.2857142857,6851.285714285715
2020-06-19,197522.42857142858,7087.428571428572
2020-06-20,207435.7142857143,7315.285714285715
2020-06-21,217158.85714285713,7539.857142857143
2020-06-22,226805.57142857142,7755.428571428572
2020-06-23,236279.57142857142,7961.857142857143
2020-06-24,241106.42857142858,8161.0
2020-06-25,245958.0,8358.142857142857
2020-06-26,250524.7142857143,8550.0
2020-06-27,254955.85714285713,8737.0
2020-06-28,259188.2857142857,8920.142857142857
2020-06-29,,9098.57142857143
2020-06-30,,9272.857142857143
2020-07-01,264199.71428571426,9441.142857142857
2020-07-02,269024.5714285714,9608.142857142857
2020-07-03,273835.0,9772.57142857143
2020-07-04,278518.28571428574,9933.857142857143
2020-07-05,283114.28571428574,10086.0
2020-07-06,287513.0,10236.0
2020-07-07,291661.14285714284,10385.57142857143
2020-07-08,294666.85714285716,10534.857142857143
2020-07-09,297763.28571428574,10679.0
2020-07-10,300789.71428571426,10816.714285714286
2020-07-11,303672.85714285716,10951.142857142857
2020-07-12,306459.85714285716,11085.285714285714
2020-07-13,309188.4285714286,11218.42857142857
2020-07-14,311827.5714285714,11346.42857142857
2020-07-15,314416.4285714286,11468.714285714286
2020-07-16,316913.85714285716,11589.0
2020-07-17,319380.28571428574,11707.0
2020-07-18,321782.71428571426,11822.142857142857
2020-07-19,324052.5714285714,11934.42857142857
2020-07-20,326248.5714285714,12040.42857142857
2020-07-21,328418.5714285714,12147.142857142857
2020-07-22,330589.5714285714,12252.142857142857
2020-07-23,332741.14285714284,12352.0
2020-07-24,334850.4285714286,12452.857142857143
2020-07-25,336957.0,12552.714285714286
2020-07-26,339079.85714285716,12650.0
2020-07-27,341207.5714285714,12749.57142857143
2020-07-28,343367.14285714284,12843.0
2020-07-29,345534.71428571426,12937.285714285714
2020-07-30,347645.71428571426,13030.857142857143
2020-07-31,349697.5714285714,13121.42857142857
2020-08-01,351707.0,13214.714285714286
2020-08-02,353698.5714285714,13307.714285714286
2020-08-03,355637.14285714284,13395.714285714286
2020-08-04,357517.4285714286,13484.142857142857
2020-08-05,359395.71428571426,13569.57142857143
2020-08-06,361272.14285714284,13655.142857142857
2020-08-07,363151.85714285716,13739.714285714286
2020-08-08,365061.14285714284,13817.42857142857
2020-08-09,366964.71428571426,13893.142857142857
2020-08-10,368900.5714285714,13967.142857142857
2020-08-11,370851.14285714284,14039.0
2020-08-12,372771.85714285716,14109.142857142857
2020-08-13,374680.85714285716,14176.714285714286
2020-08-14,376578.85714285716,14244.142857142857
2020-08-15,378418.71428571426,14313.285714285714
2020-08-16,380260.14285714284,14384.0
2020-08-17,382039.85714285716,14457.42857142857
2020-08-18,383788.28571428574,14531.285714285714
2020-08-19,385483.85714285716,14606.857142857143
2020-08-20,387171.71428571426,14683.714285714286
2020-08-21,388837.14285714284,14761.0
2020-08-22,390523.71428571426,14837.285714285714
2020-08-23,392197.85714285716,14912.0
2020-08-24,393921.5714285714,14986.857142857143
2020-08-25,395654.4285714286,15061.714285714286
2020-08-26,397415.5714285714,15134.714285714286
2020-08-27,399166.0,15206.714285714286
2020-08-28,400909.28571428574,15275.57142857143
2020-08-29,402666.5714285714,15343.714285714286
2020-08-30,404425.0,15412.0
2020-08-31,406161.85714285716,15480.42857142857
2020-09-01,407899.0,15548.714285714286
2020-09-02,409666.71428571426,15615.857142857143
2020-09-03,411438.0,15683.42857142857
2020-09-04,413223.28571428574,15750.42857142857
2020-09-05,414998.28571428574,15817.714285714286
2020-09-06,416789.14285714284,15884.57142857143
2020-09-07,418581.71428571426,15947.857142857143
2020-09-08,420352.5714285714,16010.42857142857
2020-09-09,422108.0,16072.857142857143
2020-09-10,423846.28571428574,16135.857142857143
2020-09-11,425570.0,16199.285714285714
2020-09-12,427317.4285714286,16261.0
2020-09-13,429065.71428571426,16323.714285714286
2020-09-14,430802.71428571426,16388.571428571428
2020-09-15,432580.14285714284,16452.571428571428
2020-09-16,434331.5714285714,16516.14285714286
2020-09-17,436114.5714285714,16576.714285714286
2020-09-18,437870.5714285714,16636.85714285714
2020-09-19,439586.0,16698.428571428572
2020-09-20,441232.5714285714,16758.571428571428
2020-09-21,442809.0,16816.428571428572
2020-09-22,444314.71428571426,16873.571428571428
2020-09-23,445831.28571428574,16931.571428571428
2020-09-24,447329.0,16991.571428571428
2020-09-25,448906.28571428574,17052.714285714286
2020-09-26,450521.28571428574,17112.14285714286
2020-09-27,452182.28571428574,17171.0
2020-09-28,453925.5714285714,17228.85714285714
2020-09-29,455750.85714285716,17290.285714285714
2020-09-30,457620.5714285714,17352.285714285714
2020-10-01,459494.28571428574,17412.285714285714
2020-10-02,461311.71428571426,17471.0
2020-10-03,463096.28571428574,17531.571428571428
2020-10-04,464850.28571428574,17591.714285714286
2020-10-05,466575.28571428574,17653.428571428572
2020-10-06,468290.4285714286,17712.714285714286
2020-10-07,469926.0,17770.85714285714
2020-10-08,471535.4285714286,17828.85714285714
2020-10-09,473132.4285714286,17887.0
2020-10-10,474721.5714285714,17944.285714285714
2020-10-11,476320.4285714286,18002.571428571428
2020-10-12,477912.14285714284,18061.14285714286
2020-10-13,479479.85714285716,18118.285714285714
2020-10-14,481041.5714285714,18175.0
2020-10-15,482538.71428571426,18233.285714285714
2020-10-16,484027.4285714286,18290.571428571428
2020-10-17,485514.28571428574,18347.571428571428
2020-10-18,486998.4285714286,18402.571428571428
2020-10-19,488486.5714285714,18457.14285714286
2020-10-20,489943.4285714286,18513.714285714286
2020-10-21,491409.85714285716,18570.428571428572
2020-10-22,492929.14285714284,18626.571428571428
2020-10-23,494460.0,18682.85714285714
2020-10-24,495965.5714285714,18737.714285714286
2020-10-25,497437.4285714286,18792.714285714286
2020-10-26,498907.85714285716,18846.428571428572
2020-10-27,500343.14285714284,18897.571428571428
2020-10-28,501756.4285714286,18950.14285714286
2020-10-29,503173.4285714286,19003.14285714286
2020-10-30,504554.14285714284,19054.428571428572
2020-10-31,505941.85714285716,19106.0
2020-11-01,507342.0,19158.285714285714
2020-11-02,508712.0,19211.428571428572
2020-11-03,510094.4285714286,19265.14285714286
2020-11-04,511453.28571428574,19316.0
2020-11-05,512815.0,19366.14285714286
2020-11-06,514217.71428571426,19418.0
2020-11-07,515606.4285714286,19471.285714285714
2020-11-08,516991.28571428574,19523.14285714286
2020-11-09,518375.71428571426,19572.714285714286
2020-11-10,519762.14285714284,19621.428571428572
2020-11-11,521156.71428571426,19670.285714285714
2020-11-12,522564.71428571426,19718.0
2020-11-13,523941.85714285716,19766.0
2020-11-14,525327.4285714285,19810.85714285714
2020-11-15,526715.2857142857,19858.14285714286
2020-11-16,528104.5714285715,19905.85714285714
2020-11-17,529490.7142857143,19952.0
2020-11-18,530884.1428571428,19997.85714285714
2020-11-19,532251.8571428572,20043.0
2020-11-20,533616.8571428572,20087.285714285714
2020-11-21,534969.2857142857,20131.428571428572
2020-11-22,536307.4285714285,20175.0
2020-11-23,537661.1428571428,20220.85714285714
2020-11-24,539015.0,20269.0
2020-11-25,540377.0,20316.14285714286
2020-11-26,541755.5714285715,20364.85714285714
2020-11-27,543132.4285714285,20414.85714285714
2020-11-28,544532.1428571428,20464.14285714286
2020-11-29,545930.7142857143,20514.285714285714
2020-11-30,547311.1428571428,20562.285714285714
2020-12-01,548707.8571428572,20610.0
2020-12-02,550108.7142857143,20657.85714285714
2020-12-03,551500.7142857143,20704.714285714286
2020-12-04,552916.7142857143,20749.0
2020-12-05,554306.2857142857,20795.285714285714
2020-12-06,555728.0,20839.571428571428
2020-12-07,557213.5714285715,20885.285714285714
2020-12-08,558737.8571428572,20929.714285714286
2020-12-09,560292.1428571428,20976.285714285714
2020-12-10,561868.4285714285,21022.14285714286
2020-12-11,563416.8571428572,21069.285714285714
2020-12-12,565004.4285714285,21114.85714285714
2020-12-13,566652.5714285715,21158.285714285714
2020-12-14,568322.2857142857,21201.285714285714
2020-12-15,570007.2857142857,21246.571428571428
2020-12-16,571714.8571428572,21293.0
2020-12-17,573470.8571428572,21341.571428571428
2020-12-18,575351.0,21388.428571428572
2020-12-19,577290.0,21436.714285714286
2020-12-20,579236.5714285715,21489.0
2020-12-21,581187.7142857143,21540.571428571428
2020-12-22,583167.7142857143,21592.714285714286
2020-12-23,585193.8571428572,21643.285714285714
2020-12-24,587276.4285714285,21693.428571428572
2020-12-25,589375.8571428572,21745.714285714286
2020-12-26,591524.4285714285,21802.14285714286
2020-12-27,593604.4285714285,21858.285714285714
2020-12-28,595681.5714285715,21914.0
2020-12-29,597795.4285714285,21967.14285714286
2020-12-30,599943.4285714285,22018.428571428572
2020-12-31,602181.0,22070.571428571428
2021-01-01,604571.4285714285,22122.85714285714
2021-01-02,607072.5714285715,22173.571428571428
2021-01-03,609656.2857142857,22224.85714285714
2021-01-04,612315.2857142857,22279.571428571428
2021-01-05,615046.0,22337.14285714286
2021-01-06,617836.4285714285,22400.285714285714
2021-01-07,620722.5714285715,22466.428571428572
2021-01-08,623696.4285714285,22533.428571428572
2021-01-09,626816.4285714285,22600.571428571428
2021-01-10,630206.7142857143,22666.714285714286
2021-01-11,633814.0,22733.85714285714
2021-01-12,637533.1428571428,22801.428571428572
2021-01-13,641396.2857142857,22866.14285714286
2021-01-14,645330.0,22930.714285714286
2021-01-15,649301.2857142857,22996.428571428572
2021-01-16,653265.7142857143,23065.14285714286
2021-01-17,657252.7142857143,23135.714285714286
2021-01-18,661232.4285714285,23207.85714285714
2021-01-19,665234.7142857143,23283.714285714286
2021-01-20,669265.4285714285,23365.0
2021-01-21,673321.8571428572,23445.714285714286
2021-01-22,677448.4285714285,23528.714285714286
2021-01-23,681613.2857142857,23610.571428571428
2021-01-24,685795.8571428572,23697.0
2021-01-25,689999.8571428572,23782.571428571428
2021-01-26,694192.5714285715,23867.428571428572
2021-01-27,698356.5714285715,23953.571428571428
2021-01-28,702504.5714285715,24042.428571428572
2021-01-29,706602.1428571428,24130.714285714286
2021-01-30,710638.2857142857,24220.285714285714
2021-01-31,714638.1428571428,24310.0
2021-02-01,718596.7142857143,24403.14285714286
2021-02-02,722530.2857142857,24495.85714285714
2021-02-03,726352.7142857143,24586.285714285714
2021-02-04,730080.4285714285,24676.714285714286
2021-02-05,733690.4285714285,24769.571428571428
2021-02-06,737287.8571428572,24863.428571428572
2021-02-07,740827.4285714285,24955.714285714286
2021-02-08,744322.0,25045.714285714286
2021-02-09,747772.5714285715,25137.571428571428
2021-02-10,751191.2857142857,25232.285714285714
2021-02-11,754629.8571428572,25324.428571428572
2021-02-12,758123.0,25414.0
2021-02-13,761596.2857142857,25503.14285714286
2021-02-14,765071.0,25592.0
2021-02-15,768526.8571428572,25682.14285714286
2021-02-16,771934.0,25769.14285714286
