Totales,sintomaticos,Casos totales,Fallecidos,Vacunados,Recuperados,Efectividad,Ac novac,Ac vac,Fallecidos novac,Fallecidos vac
2020-04-01,293,3030,16,0,234,0,3030,0,16,0
2020-04-02,373,3403,18,0,335,0,3403,0,18,0
2020-04-03,333,3736,22,0,427,0,3736,0,22,0
2020-04-04,424,4160,27,0,528,0,4160,0,27,0
2020-04-05,310,4470,34,0,617,0,4470,0,34,0
2020-04-06,344,4814,37,0,728,0,4814,0,37,0
2020-04-07,301,5115,43,0,898,0,5115,0,43,0
2020-04-08,430,5545,48,0,1115,0,5545,0,48,0
2020-04-09,426,5971,57,0,1274,0,5971,0,57,0
2020-04-10,529,6500,65,0,1571,0,6500,0,65,0
2020-04-11,426,6926,73,0,1864,0,6926,0,73,0
2020-04-12,286,7212,80,0,2059,0,7212,0,80,0
2020-04-13,312,7524,82,0,2367,0,7524,0,82,0
2020-04-14,392,7916,92,0,2646,0,7916,0,92,0
2020-04-15,356,8272,94,0,2937,0,8272,0,94,0
2020-04-16,534,8806,105,0,3299,0,8806,0,105,0
2020-04-17,445,9251,116,0,3621,0,9251,0,116,0
2020-04-18,478,9729,126,0,4035,0,9729,0,126,0
2020-04-19,358,10087,133,0,4338,0,10087,0,133,0
2020-04-20,419,10506,139,0,4676,0,10506,0,139,0
2020-04-21,325,10831,147,0,4969,0,10831,0,147,0
2020-04-22,464,11295,160,0,5386,0,11295,0,160,0
2020-04-23,516,11811,168,0,5804,0,11811,0,168,0
2020-04-24,494,12305,174,0,6327,0,12305,0,174,0
2020-04-25,552,12857,181,0,6746,0,12857,0,181,0
2020-04-26,473,13330,189,0,7024,0,13330,0,189,0
2020-04-27,482,13812,198,0,7327,0,13812,0,198,0
2020-04-28,552,14364,207,0,7710,0,14364,0,207,0
2020-04-29,520,14884,216,0,8057,0,14884,0,216,0
2020-04-30,780,15664,227,0,8580,0,15664,0,227,0
2020-05-01,882,16546,234,0,9018,0,16546,0,234,0
2020-05-02,1246,17792,247,0,9572,0,17792,0,247,0
2020-05-03,1112,18904,260,0,10041,0,18904,0,260,0
2020-05-04,876,19780,270,0,10415,0,19780,0,270,0
2020-05-05,1317,21097,275,0,10710,0,21097,0,275,0
2020-05-06,893,21990,281,0,11189,0,21990,0,281,0
2020-05-07,1343,23333,285,0,11664,0,23333,0,285,0
2020-05-08,1183,24516,294,0,12160,0,24516,0,294,0
2020-05-09,1004,25520,304,0,12667,0,25520,0,304,0
2020-05-10,1406,26926,312,0,13112,0,26926,0,312,0
2020-05-11,975,27901,323,0,13605,0,27901,0,323,0
2020-05-12,1479,29380,335,0,14125,0,29380,0,335,0
2020-05-13,2152,31532,346,0,14865,0,31532,0,346,0
2020-05-14,2301,33833,368,0,15655,0,33833,0,368,0
2020-05-15,2112,35945,394,0,16614,0,35945,0,394,0
2020-05-16,1573,37518,421,0,18014,0,37518,0,421,0
2020-05-17,2024,39542,450,0,19213,0,39542,0,450,0
2020-05-18,2018,41560,478,0,20165,0,41560,0,478,0
2020-05-19,3099,44659,509,0,21507,0,44659,0,509,0
2020-05-20,3647,48306,544,0,22504,0,48306,0,544,0
2020-05-21,3538,51844,589,0,23992,0,51844,0,589,0
2020-05-22,3863,55707,630,0,25342,0,55707,0,630,0
2020-05-23,3237,58944,673,0,26546,0,58944,0,673,0
2020-05-24,3343,62287,718,0,28148,0,62287,0,718,0
2020-05-25,4428,66715,761,0,29302,0,66715,0,761,0
2020-05-26,3618,70333,806,0,30915,0,70333,0,806,0
2020-05-27,3956,74289,841,0,33540,0,74289,0,841,0
2020-05-28,4128,78417,890,0,36115,0,78417,0,890,0
2020-05-29,3355,81772,944,0,38598,0,81772,0,944,0
2020-05-30,3736,85508,997,0,40431,0,85508,0,997,0
2020-05-31,4437,89945,1054,0,42727,0,89945,0,1054,0
2020-06-01,5082,95027,1113,0,44946,0,95027,0,1113,0
2020-06-02,3206,98233,1188,0,48391,0,98233,0,1188,0
2020-06-03,4537,102770,1275,0,52342,0,102770,0,1275,0
2020-06-04,4172,106942,1356,0,56225,0,106942,0,1356,0
2020-06-05,3790,110732,1448,0,60409,0,110732,0,1448,0
2020-06-06,4888,115620,1541,0,63852,0,115620,0,1541,0
2020-06-07,5760,121380,2190,0,66912,0,121380,0,2190,0
2020-06-08,4237,125617,2264,0,71733,0,125617,0,2264,0
2020-06-09,3587,129204,2283,0,75678,0,129204,0,2283,0
2020-06-10,5226,134430,2475,0,79814,0,134430,0,2475,0
2020-06-11,5089,139519,2648,0,84295,0,139519,0,2648,0
2020-06-12,6217,145736,2870,0,87768,0,145736,0,2870,0
2020-06-13,5969,151705,3101,0,91757,0,151705,0,3101,0
2020-06-14,6368,158073,3323,0,96365,0,158073,0,3323,0
2020-06-15,4660,162733,3362,0,101797,0,162733,0,3362,0
2020-06-16,4498,167231,3383,0,105303,0,167231,0,3383,0
2020-06-17,4320,171551,3615,0,141667,0,171551,0,3615,0
2020-06-18,4060,175611,3841,0,114451,0,175611,0,3841,0
2020-06-19,5016,180627,4093,0,118406,0,180627,0,4093,0
2020-06-20,4564,185191,4295,0,123450,0,185191,0,4295,0
2020-06-21,4181,189372,4479,0,129671,0,189372,0,4479,0
2020-06-22,3710,193082,4502,0,134344,0,193082,0,4502,0
2020-06-23,3078,196160,4505,0,138254,0,196160,0,4505,0
2020-06-24,3020,199180,4731,0,143765,0,199180,0,4731,0
2020-06-25,3778,202958,4903,0,149189,0,202958,0,4903,0
2020-06-26,3422,206380,5068,0,155778,0,206380,0,5068,0
2020-06-27,3481,209861,5347,0,162008,0,209861,0,5347,0
2020-06-28,3396,213257,5509,0,168784,0,213257,0,5509,0
2020-06-29,3092,216349,5575,0,173861,0,216349,0,5575,0
2020-06-30,2690,219039,5688,0,178761,0,219039,0,5688,0
2020-07-01,2134,221173,5753,0,214875,0,221173,0,5753,0
2020-07-02,2042,223215,5920,0,219183,0,223215,0,5920,0
2020-07-03,2703,225918,6051,0,225342,0,225918,0,6051,0
2020-07-04,2951,228869,6192,0,230556,0,228869,0,6192,0
2020-07-05,2852,231721,6308,0,236047,0,231721,0,6308,0
