Totales,sintomaticos,Cases,Deaths,Vacunados,Recuperados,Efectividad
2020-04-01,293,3030,16,0,234,0
2020-04-02,373,3403,18,0,335,0
2020-04-03,333,3736,22,0,427,0
2020-04-04,424,4160,27,0,528,0
2020-04-05,310,4470,34,0,617,0
2020-04-06,344,4814,37,0,728,0
2020-04-07,301,5115,43,0,898,0
2020-04-08,430,5545,48,0,1115,0
2020-04-09,426,5971,57,0,1274,0
2020-04-10,529,6500,65,0,1571,0
2020-04-11,426,6926,73,0,1864,0
2020-04-12,286,7212,80,0,2059,0
2020-04-13,312,7524,82,0,2367,0
2020-04-14,392,7916,92,0,2646,0
2020-04-15,356,8272,94,0,2937,0
2020-04-16,534,8806,105,0,3299,0
2020-04-17,445,9251,116,0,3621,0
2020-04-18,478,9729,126,0,4035,0
2020-04-19,358,10087,133,0,4338,0
2020-04-20,419,10506,139,0,4676,0
2020-04-21,325,10831,147,0,4969,0
2020-04-22,464,11295,160,0,5386,0
2020-04-23,516,11811,168,0,5804,0
2020-04-24,494,12305,174,0,6327,0
2020-04-25,552,12857,181,0,6746,0
2020-04-26,473,13330,189,0,7024,0
2020-04-27,482,13812,198,0,7327,0
2020-04-28,552,14364,207,0,7710,0
2020-04-29,520,14884,216,0,8057,0
2020-04-30,780,15664,227,0,8580,0
2020-05-01,882,16546,234,0,9018,0
2020-05-02,1246,17792,247,0,9572,0
2020-05-03,1112,18904,260,0,10041,0
2020-05-04,876,19780,270,0,10415,0
2020-05-05,1317,21097,275,0,10710,0
2020-05-06,893,21990,281,0,11189,0
2020-05-07,1343,23333,285,0,11664,0
2020-05-08,1183,24516,294,0,12160,0
2020-05-09,1004,25520,304,0,12667,0
2020-05-10,1406,26926,312,0,13112,0
2020-05-11,975,27901,323,0,13605,0
2020-05-12,1479,29380,335,0,14125,0
2020-05-13,2152,31532,346,0,14865,0
2020-05-14,2301,33833,368,0,15655,0
2020-05-15,2112,35945,394,0,16614,0
2020-05-16,1573,37518,421,0,18014,0
2020-05-17,2024,39542,450,0,19213,0
