Totales;sintomaticos;Cases;Deaths;Vacunados;Efectividad;refuerzo;Efe refuerzo
1/4/2020;293;3030;16;0;0;0;0
2/4/2020;373;3403;18;0;0;0;0
3/4/2020;333;3736;22;0;0;0;0
4/4/2020;424;4160;27;0;0;0;0
5/4/2020;310;4470;34;0;0;0;0
6/4/2020;344;4814;37;0;0;0;0
7/4/2020;301;5115;43;0;0;0;0
8/4/2020;430;5545;48;0;0;0;0
9/4/2020;426;5971;57;0;0;0;0
10/4/2020;529;6500;65;0;0;0;0
11/4/2020;426;6926;73;0;0;0;0
12/4/2020;286;7212;80;0;0;0;0
13/4/2020;312;7524;82;0;0;0;0
14/4/2020;392;7916;92;0;0;0;0
15/4/2020;356;8272;94;0;0;0;0
16/4/2020;534;8806;105;0;0;0;0
17/4/2020;445;9251;116;0;0;0;0
18/4/2020;478;9729;126;0;0;0;0
19/4/2020;358;10087;133;0;0;0;0
20/4/2020;419;10506;139;0;0;0;0
21/4/2020;325;10831;147;0;0;0;0
22/4/2020;464;11295;160;0;0;0;0
23/4/2020;516;11811;168;0;0;0;0
24/4/2020;494;12305;174;0;0;0;0
25/4/2020;552;12857;181;0;0;0;0
26/4/2020;473;13330;189;0;0;0;0
27/4/2020;482;13812;198;0;0;0;0
28/4/2020;552;14364;207;0;0;0;0
29/4/2020;520;14884;216;0;0;0;0
30/4/2020;780;15664;227;0;0;0;0
1/5/2020;882;16546;234;0;0;0;0
2/5/2020;1246;17792;247;0;0;0;0
3/5/2020;1112;18904;260;0;0;0;0
4/5/2020;876;19780;270;0;0;0;0
5/5/2020;1317;21097;275;0;0;0;0
6/5/2020;893;21990;281;0;0;0;0
7/5/2020;1343;23333;285;0;0;0;0
8/5/2020;1183;24516;294;0;0;0;0
9/5/2020;1004;25520;304;0;0;0;0
10/5/2020;1406;26926;312;0;0;0;0
11/5/2020;975;27901;323;0;0;0;0
12/5/2020;1479;29380;335;0;0;0;0
13/5/2020;2152;31532;346;0;0;0;0
14/5/2020;2301;33833;368;0;0;0;0
15/5/2020;2112;35945;394;0;0;0;0
16/5/2020;1573;37518;421;0;0;0;0
17/5/2020;2024;39542;450;0;0;0;0
18/5/2020;2018;41560;478;0;0;0;0
19/5/2020;3099;44659;509;0;0;0;0
20/5/2020;3647;48306;544;0;0;0;0
21/5/2020;3538;51844;589;0;0;0;0
22/5/2020;3863;55707;630;0;0;0;0
23/5/2020;3237;58944;673;0;0;0;0
24/5/2020;3343;62287;718;0;0;0;0
25/5/2020;4428;66715;761;0;0;0;0
26/5/2020;3618;70333;806;0;0;0;0
27/5/2020;3956;74289;841;0;0;0;0
28/5/2020;4128;78417;890;0;0;0;0
29/5/2020;3355;81772;944;0;0;0;0
30/5/2020;3736;85508;997;0;0;0;0
31/5/2020;4437;89945;1054;0;0;0;0
1/6/2020;5082;95027;1113;0;0;0;0
2/6/2020;3206;98233;1188;0;0;0;0
3/6/2020;4537;102770;1275;0;0;0;0
4/6/2020;4172;106942;1356;0;0;0;0
5/6/2020;3790;110732;1448;0;0;0;0
6/6/2020;4888;115620;1541;0;0;0;0
7/6/2020;5760;121380;2190;0;0;0;0
8/6/2020;4237;125617;2264;0;0;0;0
9/6/2020;3587;129204;2283;0;0;0;0
10/6/2020;5226;134430;2475;0;0;0;0
11/6/2020;5089;139519;2648;0;0;0;0
12/6/2020;6217;145736;2870;0;0;0;0
13/6/2020;5969;151705;3101;0;0;0;0
14/6/2020;6368;158073;3323;0;0;0;0
15/6/2020;4660;162733;3362;0;0;0;0
16/6/2020;4498;167231;3383;0;0;0;0
17/6/2020;4320;171551;3615;0;0;0;0
18/6/2020;4060;175611;3841;0;0;0;0
19/6/2020;5016;180627;4093;0;0;0;0
20/6/2020;4564;185191;4295;0;0;0;0
21/6/2020;4181;189372;4479;0;0;0;0
22/6/2020;3710;193082;4502;0;0;0;0
23/6/2020;3078;196160;4505;0;0;0;0
24/6/2020;3020;199180;4731;0;0;0;0
25/6/2020;3778;202958;4903;0;0;0;0
26/6/2020;3422;206380;5068;0;0;0;0
27/6/2020;3481;209861;5347;0;0;0;0
28/6/2020;3396;213257;5509;0;0;0;0
29/6/2020;3092;216349;5575;0;0;0;0
30/6/2020;2690;219039;5688;0;0;0;0
1/7/2020;2134;221173;5753;0;0;0;0
2/7/2020;2042;223215;5920;0;0;0;0
3/7/2020;2703;225918;6051;0;0;0;0
4/7/2020;2951;228869;6192;0;0;0;0
5/7/2020;2852;231721;6308;0;0;0;0
6/7/2020;2354;234075;6384;0;0;0;0
7/7/2020;1946;236021;6434;0;0;0;0
8/7/2020;1638;237659;6573;0;0;0;0
9/7/2020;2395;240054;6682;0;0;0;0
10/7/2020;2392;242446;6781;0;0;0;0
11/7/2020;2219;244665;6881;0;0;0;0
12/7/2020;2371;247036;6979;0;0;0;0
13/7/2020;1985;249021;7024;0;0;0;0
14/7/2020;1444;250465;7069;0;0;0;0
15/7/2020;1400;251865;7186;0;0;0;0
16/7/2020;1949;253814;7290;0;0;0;0
17/7/2020;2125;255939;8347;0;0;0;0
18/7/2020;1624;257563;8445;0;0;0;0
19/7/2020;1615;259178;8503;0;0;0;0
20/7/2020;1599;260777;8633;0;0;0;0
21/7/2020;1342;262119;8677;0;0;0;0
22/7/2020;1391;263510;8722;0;0;0;0
23/7/2020;1841;265351;8838;0;0;0;0
24/7/2020;2005;267356;8914;0;0;0;0
25/7/2020;1752;269108;9020;0;0;0;0
26/7/2020;1620;270728;9112;0;0;0;0
27/7/2020;1475;272203;9187;0;0;0;0
28/7/2020;1236;273439;9240;0;0;0;0
29/7/2020;1294;274733;9278;0;0;0;0
30/7/2020;1428;276161;9377;0;0;0;0
31/7/2020;1540;277701;9457;0;0;0;0
1/8/2020;1426;279127;9533;0;0;0;0
2/8/2020;1482;280609;9608;0;0;0;0
3/8/2020;1119;281728;9707;0;0;0;0
4/8/2020;1049;282777;9745;0;0;0;0
5/8/2020;1216;283993;9792;0;0;0;0
6/8/2020;1383;285376;9889;0;0;0;0
7/8/2020;1479;286855;9958;0;0;0;0
8/8/2020;1511;288366;10011;0;0;0;0
9/8/2020;1452;289818;10077;0;0;0;0
10/8/2020;1319;291137;10139;0;0;0;0
11/8/2020;1061;292198;10178;0;0;0;0
12/8/2020;1071;293269;10205;0;0;0;0
13/8/2020;1343;294612;10299;0;0;0;0
14/8/2020;1396;296008;10340;0;0;0;0
15/8/2020;1158;297166;10395;0;0;0;0
16/8/2020;1383;298549;10452;0;0;0;0
17/8/2020;1012;299561;10513;0;0;0;0
18/8/2020;846;300407;10546;0;0;0;0
19/8/2020;876;301283;10578;0;0;0;0
20/8/2020;1265;302548;10671;0;0;0;0
21/8/2020;1328;303876;10723;0;0;0;0
22/8/2020;1267;305143;10792;0;0;0;0
23/8/2020;1315;306458;10852;0;0;0;0
24/8/2020;1265;307723;10916;0;0;0;0
25/8/2020;887;308610;10958;0;0;0;0
26/8/2020;993;309603;10990;0;0;0;0
27/8/2020;1197;310800;11072;0;0;0;0
28/8/2020;1227;312027;11132;0;0;0;0
29/8/2020;1330;313357;11181;0;0;0;0
30/8/2020;1277;314634;11244;0;0;0;0
31/8/2020;1177;315811;11289;0;0;0;0
1/9/2020;926;316737;11321;0;0;0;0
2/9/2020;1114;317851;11344;0;0;0;0
3/9/2020;1275;319126;11422;0;0;0;0
4/9/2020;1319;320445;11494;0;0;0;0
5/9/2020;1368;321813;11551;0;0;0;0
6/9/2020;1364;323177;11592;0;0;0;0
7/9/2020;1175;324352;11652;0;0;0;0
8/9/2020;839;325191;11682;0;0;0;0
9/9/2020;1048;326239;11702;0;0;0;0
10/9/2020;1139;327378;11781;0;0;0;0
11/9/2020;1304;328682;11850;0;0;0;0
12/9/2020;1407;330089;11895;0;0;0;0
13/9/2020;1413;331502;11949;0;0;0;0
14/9/2020;1064;332566;12013;0;0;0;0
15/9/2020;1025;333591;12040;0;0;0;0
16/9/2020;918;334509;12058;0;0;0;0
17/9/2020;1283;335792;12142;0;0;0;0
18/9/2020;1097;336889;12199;0;0;0;0
19/9/2020;1230;338119;12254;0;0;0;0
20/9/2020;1048;339167;12286;0;0;0;0
21/9/2020;832;339999;12298;0;0;0;0
22/9/2020;814;340813;12321;0;0;0;0
23/9/2020;1016;341829;12345;0;0;0;0
24/9/2020;1282;343111;12469;0;0;0;0
25/9/2020;1475;344586;12527;0;0;0;0
26/9/2020;1458;346044;12591;0;0;0;0
27/9/2020;1233;347277;12641;0;0;0;0
28/9/2020;1112;348389;12698;0;0;0;0
29/9/2020;1036;349425;12725;0;0;0;0
30/9/2020;1185;350610;12741;0;0;0;0
1/10/2020;1198;351808;12822;0;0;0;0
2/10/2020;1208;353016;12867;0;0;0;0
3/10/2020;1184;354200;12919;0;0;0;0
4/10/2020;1016;355216;12979;0;0;0;0
5/10/2020;984;356200;13037;0;0;0;0
6/10/2020;1019;357219;13070;0;0;0;0
7/10/2020;803;358022;13090;0;0;0;0
8/10/2020;1104;359126;13167;0;0;0;0
9/10/2020;1228;360354;13220;0;0;0;0
10/10/2020;1200;361554;13272;0;0;0;0
11/10/2020;1132;362686;13318;0;0;0;0
12/10/2020;941;363627;13379;0;0;0;0
13/10/2020;898;364525;13396;0;0;0;0
14/10/2020;822;365347;13415;0;0;0;0
15/10/2020;889;366236;13434;0;0;0;0
16/10/2020;1141;367377;13529;0;0;0;0
17/10/2020;1189;368566;13588;0;0;0;0
18/10/2020;1149;369715;13635;0;0;0;0
19/10/2020;1034;370749;13676;0;0;0;0
20/10/2020;726;371475;13702;0;0;0;0
21/10/2020;830;372305;13719;0;0;0;0
22/10/2020;1030;373335;13792;0;0;0;0
23/10/2020;1160;374495;13844;0;0;0;0
24/10/2020;1121;375616;13892;0;0;0;0
25/10/2020;1026;376642;13944;0;0;0;0
26/10/2020;1010;377652;14003;0;0;0;0
27/10/2020;569;378221;14026;0;0;0;0
28/10/2020;738;378959;14032;0;0;0;0
29/10/2020;1064;380023;14118;0;0;0;0
30/10/2020;965;380988;14158;0;0;0;0
31/10/2020;1077;382065;14207;0;0;0;0
1/11/2020;1031;383096;14247;0;0;0;0
2/11/2020;824;383920;14302;0;0;0;0
3/11/2020;688;384608;14319;0;0;0;0
4/11/2020;633;385241;14340;0;0;0;0
5/11/2020;1044;386285;14404;0;0;0;0
6/11/2020;1145;387430;14450;0;0;0;0
7/11/2020;1026;388456;14499;0;0;0;0
8/11/2020;1058;389514;14543;0;0;0;0
9/11/2020;836;390350;14588;0;0;0;0
10/11/2020;687;391037;14611;0;0;0;0
11/11/2020;636;391673;14633;0;0;0;0
12/11/2020;1145;392818;14699;0;0;0;0
13/11/2020;1012;393830;14738;0;0;0;0
14/11/2020;1093;394923;14777;0;0;0;0
15/11/2020;1029;395952;14819;0;0;0;0
16/11/2020;848;396800;14863;0;0;0;0
17/11/2020;656;397456;14883;0;0;0;0
18/11/2020;697;398153;14897;0;0;0;0
19/11/2020;1051;399204;14955;0;0;0;0
20/11/2020;1071;400275;15003;0;0;0;0
21/11/2020;1019;401294;15030;0;0;0;0
22/11/2020;961;402255;15069;0;0;0;0
23/11/2020;903;403158;15106;0;0;0;0
24/11/2020;702;403860;15131;0;0;0;0
25/11/2020;780;404640;15138;0;0;0;0
26/11/2020;1082;405722;15235;0;0;0;0
27/11/2020;1014;406736;15278;0;0;0;0
28/11/2020;1133;407869;15322;0;0;0;0
29/11/2020;993;408862;15356;0;0;0;0
30/11/2020;884;409746;15410;0;0;0;0
1/12/2020;747;410493;15430;0;0;0;0
2/12/2020;773;411266;15438;0;0;0;0
3/12/2020;1079;412345;15519;0;0;0;0
4/12/2020;1155;413500;15558;0;0;0;0
5/12/2020;1014;414514;15592;0;0;0;0
6/12/2020;1078;415592;15628;0;0;0;0
7/12/2020;1132;416724;15663;0;0;0;0
8/12/2020;958;417682;15680;0;0;0;0
9/12/2020;945;418627;15690;0;0;0;0
10/12/2020;1128;419755;15774;0;0;0;0
11/12/2020;1112;420867;15782;0;0;0;0
12/12/2020;1281;422148;15846;0;0;0;0
13/12/2020;1427;423575;15886;0;0;0;0
14/12/2020;1243;424818;15931;0;0;0;0
15/12/2020;1064;425882;15949;0;0;0;0
16/12/2020;1052;426934;15959;0;0;0;0
17/12/2020;1414;428348;16007;0;0;0;0
18/12/2020;1551;429899;16051;0;0;0;0
19/12/2020;1517;431416;16101;0;0;0;0
20/12/2020;1411;432827;16154;0;0;0;0
21/12/2020;1276;434103;16197;0;0;0;0
22/12/2020;1086;435189;16217;0;0;0;0
23/12/2020;1281;436470;16228;0;0;0;0
24/12/2020;1598;438068;16303;0;0;0;0
25/12/2020;1597;439665;16358;0;0;0;0
26/12/2020;1618;441283;16404;0;0;0;0
27/12/2020;1105;442388;16443;0;0;0;0
28/12/2020;1395;443783;16443;0;0;0;0
29/12/2020;1410;445193;16488;0;0;0;0
30/12/2020;1554;446747;16499;0;0;0;0
31/12/2020;2036;448783;16608;0;0;0;0
1/1/2021;2321;451104;16660;0;0;0;0
2/1/2021;2055;453159;16724;0;0;0;0
3/1/2021;1492;454651;16767;0;0;0;0
4/1/2021;1751;456402;16767;0;0;0;0
5/1/2021;1885;458287;16788;0;0;0;0
6/1/2021;1896;460183;16816;0;0;0;0
7/1/2021;2614;462797;16913;0;0;0;0
8/1/2021;2685;465482;16974;0;0;0;0
9/1/2021;2762;468244;17037;0;0;0;0
10/1/2021;2663;470907;17096;0;0;0;0
11/1/2021;2451;473358;17162;0;0;0;0
12/1/2021;2043;475401;17182;0;0;0;0
13/1/2021;2328;477729;17204;1032;0;0;0
14/1/2021;2725;480454;17294;5829;0.007239206;0;0
15/1/2021;2899;483353;17369;8304;0.033783558;0;0
16/1/2021;2677;486030;17435;8371;0.074074782;0;0
17/1/2021;2777;488807;17477;8371;0.114963671;0;0
18/1/2021;2430;491237;17547;8371;0.15585256;0;0
19/1/2021;2283;493520;17573;8372;0.196717949;0;0
20/1/2021;2468;495988;17594;8372;0.237606838;0;0
21/1/2021;3049;499037;17702;8372;0.278495726;0;0
22/1/2021;3296;502333;17786;8376;0.319232092;0;0
23/1/2021;2760;505093;17854;8376;0.360120981;0;0
24/1/2021;2822;507915;17933;8376;0.401009869;0;0
25/1/2021;2534;510449;17999;9779;0.378499233;0;0
26/1/2021;2054;512503;18023;10374;0.395334147;0;0
27/1/2021;2423;514926;18040;10408;0.434798019;0;0
28/1/2021;2896;517822;18174;10408;0.475686908;0;0
29/1/2021;2941;520763;18257;10413;0.516327753;0;0
