,0
gamma_aVr,0.32110971104728264
gamma_sVr,0.2267481866831867
deltaVr,0.0016329732139803341
beta_aN,0.6184600463289376
beta_sN,0.6703576309437277
beta_aV,0.4691558215532664
beta_sV,0.49040295312020293
beta_aVr,0.49781637744305124
beta_sVr,0.4582901906123444
subr,0.38545765762765677
S0N,5946922.528732871
I_a0N,1318.4788394732768
I_s0N,10437.935806794485
R_a0N,398235.0034907854
R_s0N,755087.9810493672
D0N,28725.881954150376
Ac0,1144065.501440712
S0V,11988013.129668098
I_a0V,2860.9192554368283
I_s0V,4813.237887119629
R_a0V,290220.16935627116
R_s0V,305375.6802525711
D0V,7743.053707059609
D0,36468.93566120999
gamma_aN,0.23532938
gamma_sN,0.120576811
deltaN,0.002293053
gamma_aV,0.3108312877526695
gamma_sV,0.12369230227263213
deltaV,0.002197441446783494
SNf,4870303.165060718
I_aNf,500.70278501339067
I_sNf,2527.5502190721354
R_aNf,286435.18915915966
R_sNf,557388.3943862994
SVf,9673822.212956699
I_aVf,1143.0024560656348
I_sVf,1375.2557868757933
R_aVf,214096.2437597193
R_sVf,35892.998209155856
SVrf,4053514.422731011
I_aVrf,275.45207640067156
I_sVrf,168.71585284764603
R_aVrf,5876.0175178955105
R_sVrf,2446.41525662156
DNf,29658.96484506147
DVf,7972.896610397942
DVrf,17.77535430258355
Df,37644.229356473355
