tasas,valores
gamma_aVr,0.32168403395066364
gamma_sVr,0.22372502959398438
deltaVr,0.001620427402938155
beta_aN,0.6394371057902515
beta_sN,0.5250369232793285
beta_aV,0.4812669815022799
beta_sV,0.4384119620149344
beta_aVr,0.5113958069986319
beta_sVr,0.49342545786653075
subr,0.303733848699029
S0N,7309435.395540703
I_a0N,1364.8761207280354
I_s0N,13990.528289052394
R_a0N,403270.0624767792
R_s0N,762762.672554892
D0N,29478.41693064724
Ac0,1145355.8595633605
S0V,10673785.572497902
I_a0V,2846.444837588528
I_s0V,4763.094373685777
R_a0V,300156.4596995885
R_s0V,230966.07504355244
D0V,6934.401634880329
D0,36412.818565527574
gamma_aN,0.23532938
gamma_sN,0.120576811
deltaN,0.002293053
gamma_aV,0.3108312877526695
gamma_sV,0.12369230227263213
deltaV,0.002197441446783494
SNf,6133746.617088901
I_aNf,712.0114768541898
I_sNf,3693.7775619532113
R_aNf,314581.5878773307
R_sNf,624101.5753459993
SVf,9232491.700291628
I_aVf,1139.432995405821
I_sVf,1408.5520907829818
R_aVf,241600.9435042626
R_sVf,65818.32187657396
SVrf,3134805.2710108063
I_aVrf,250.62426629573673
I_sVrf,167.21799775658445
R_aVrf,4073.586638353064
R_sVrf,1656.4427020498028
DNf,30158.018916181325
DVf,7323.141244947063
DVrf,13.313819070229137
Df,37497.918588210654
