tasas,valores
gamma_aVr,0.32229741119601196
gamma_sVr,0.2568314861403525
deltaVr,0.001348487210479391
beta_aN,0.9433976939785241
beta_sN,0.9524188404870172
beta_aV,0.5441539496618049
beta_sV,0.5206142739918316
beta_aVr,0.5017119197292831
beta_sVr,0.4560926995465011
subr,0.9844386515130322
S0N,5880709.517049069
I_a0N,635.3584019197585
I_s0N,1649.172258728419
R_a0N,269517.9347692876
R_s0N,488631.10767648736
D0N,26075.25091226558
Ac0,1162167.3233315514
S0V,7282084.770490635
I_a0V,1056.858783250977
I_s0V,1034.87591589071
R_a0V,248150.9944998321
R_s0V,640039.7440951866
D0V,11312.308794549821
D0,37401.32204450405
gamma_aN,0.23532938
gamma_sN,0.120576811
deltaN,0.002293053
gamma_aV,0.3108312877526695
gamma_sV,0.12369230227263213
deltaV,0.002197441446783494
SNf,3782392.5726769236
I_aNf,898.8086690912055
I_sNf,4363.535852577164
R_aNf,161539.3370416174
R_sNf,303448.8065632434
SVf,2422383.4197374717
I_aVf,899.8623895741301
I_sVf,1159.3772946221034
R_aVf,73542.02133775997
R_sVf,452483.26955673075
SVrf,12735231.922332395
I_aVrf,1858.5224137867945
I_sVrf,982.2824366854247
R_aVrf,48678.045826349626
R_sVrf,20462.267009821568
DNf,26497.232289587617
DVf,12395.555907544567
DVrf,124.15804225133886
Df,39007.08757604205
