dates,cases
2021-08-16,1145360.483817457
2021-08-17,1145871.4757010464
2021-08-18,1146375.2297465173
2021-08-19,1146871.0786671296
2021-08-20,1147358.6403387215
2021-08-21,1147838.3495073344
2021-08-22,1148309.8197913908
2021-08-23,1148772.3752100044
2021-08-24,1149225.968868274
2021-08-25,1149670.279440654
2021-08-26,1150104.3447669987
2021-08-27,1150528.7365351592
2021-08-28,1150944.300550694
2021-08-29,1151350.8234859942
2021-08-30,1151747.1165161838
2021-08-31,1152133.1893831668
2021-09-01,1152509.9489040873
2021-09-02,1152877.696368073
2021-09-03,1153236.7380726521
2021-09-04,1153587.5057850247
2021-09-05,1153930.002889098
2021-09-06,1154263.6288673382
2021-09-07,1154588.6125687829
2021-09-08,1154905.6541376
2021-09-09,1155215.0011490276
2021-09-10,1155516.891659638
2021-09-11,1155811.6305492474
2021-09-12,1156099.3138881112
2021-09-13,1156379.712366815
2021-09-14,1156653.0337376948
2021-09-15,1156919.711703802
2021-09-16,1157180.0371780412
2021-09-17,1157434.2628412775
2021-09-18,1157682.5755144486
2021-09-19,1157925.0949674645
2021-09-20,1158161.774499376
2021-09-21,1158392.7524966327
2021-09-22,1158618.249126809
2021-09-23,1158838.4669623815
2021-09-24,1159053.5811178617
2021-09-25,1159263.8113114506
2021-09-26,1159469.2634386986
2021-09-27,1159669.9235848677
2021-09-28,1159865.9019190187
2021-09-29,1160057.3848530054
2021-09-30,1160244.518687005
2021-10-01,1162175.3586836637
2021-10-02,1162684.3151938869
2021-10-03,1163213.1470979955
2021-10-04,1163763.8781502927
2021-10-05,1164338.5169281473
2021-10-06,1164940.0002986025
2021-10-07,1165570.0296255446
2021-10-08,1166229.673230385
2021-10-09,1166920.815000653
2021-10-10,1167644.731368579
2021-10-11,1168401.2395858285
2021-10-12,1169192.9828310134
2021-10-13,1170023.4126300926
2021-10-14,1170893.7698833013
2021-10-15,1171802.5940553804
2021-10-16,1172751.0540458336
2021-10-17,1173742.8920380583
2021-10-18,1174780.4031877394
2021-10-19,1175866.1170151897
2021-10-20,1177003.2545947898
2021-10-21,1178193.6496663187
2021-10-22,1179436.5016807872
2021-10-23,1180734.1668315628
2021-10-24,1182091.3943678653
2021-10-25,1183511.2179844372
2021-10-26,1184996.8983943034
2021-10-27,1186552.370101622
2021-10-28,1188180.5675115106
2021-10-29,1189882.23007593
2021-10-30,1191660.9193379236
2021-10-31,1193522.2230864055
2021-11-01,1195471.1914398635
2021-11-02,1197513.0435844767
2021-11-03,1199652.8445252406
2021-11-04,1201895.3293346062
2021-11-05,1204243.5536443403
2021-11-06,1206702.6299137878
2021-11-07,1209279.0038661107
2021-11-08,1211979.4254023682
2021-11-09,1214810.8136498726
2021-11-10,1217781.3770497004
2021-11-11,1220898.0919231074
2021-11-12,1224166.047601334
2021-11-13,1227592.683210198
2021-11-14,1231187.467975092
2021-11-15,1234959.7441385062
2021-11-16,1238919.4403517584
2021-11-17,1243077.9429784988
2021-11-18,1247445.4238329825
2021-11-19,1252030.1175601643
2021-11-20,1256843.4169989787
2021-11-21,1261899.0835295904
2021-11-22,1267210.6489725907
2021-11-23,1272792.558213802
2021-11-24,1278660.9586741144
2021-11-25,1284831.7444575385
2021-11-26,1291316.0816841298
2021-11-27,1298112.4259680025
2021-11-28,1305236.1434478185
2021-11-29,1312707.3022851471
2021-11-30,1320546.9886955393
2021-12-01,1328778.1788720433
2021-12-02,1337415.344156702
2021-12-03,1346458.425072713
2021-12-04,1355916.0636573306
2021-12-05,1365798.5715683377
2021-12-06,1376120.9441617434
2021-12-07,1386898.5056312834
2021-12-08,1398167.7217843411
2021-12-09,1409937.9529452843
2021-12-10,1422183.2323922438
2021-12-11,1434894.8057849351
2021-12-12,1448067.1627047802
2021-12-13,1461697.8666763012
2021-12-14,1475800.602167336
2021-12-15,1490424.3135821621
2021-12-16,1505583.1631694487
2021-12-17,1521268.3899973824
2021-12-18,1537424.3448121496
2021-12-19,1554040.7022045166
2021-12-20,1571112.1613934545
2021-12-21,1588646.887350309
2021-12-22,1606685.0800454896
2021-12-23,1625223.8325325395
2021-12-24,1644223.3643843778
2021-12-25,1663657.6305004016
2021-12-26,1683514.550394493
2021-12-27,1703784.7644113824
2021-12-28,1724472.000731675
2021-12-29,1745605.071936335
2021-12-30,1767173.7081522138
2021-12-31,1789128.0529979158
