dates,cases
2021-08-16,36412.59387685072
2021-08-17,36454.22799172557
2021-08-18,36494.5868746321
2021-08-19,36533.76453155117
2021-08-20,36571.84014938596
2021-08-21,36608.88487063634
2021-08-22,36644.9621617636
2021-08-23,36680.12369222192
2021-08-24,36714.41258273459
2021-08-25,36747.86643268924
2021-08-26,36780.51263366412
2021-08-27,36812.37395215622
2021-08-28,36843.47658228267
2021-08-29,36873.84658778465
2021-08-30,36903.50079161397
2021-08-31,36932.449112998336
2021-09-01,36960.704608288965
2021-09-02,36988.2833207174
2021-09-03,37015.20139620897
2021-09-04,37041.47593501474
2021-09-05,37067.12404200741
2021-09-06,37092.1579019469
2021-09-07,37116.586565077596
2021-09-08,37140.42202312227
2021-09-09,37163.67833596428
2021-09-10,37186.36951418838
2021-09-11,37208.5099498445
2021-09-12,37230.11402570402
2021-09-13,37251.193538069805
2021-09-14,37271.75863937517
2021-09-15,37291.82085671833
2021-09-16,37311.39302943055
2021-09-17,37330.488438249486
2021-09-18,37349.12036784804
2021-09-19,37367.301738484326
2021-09-20,37385.044027460746
2021-09-21,37402.35761421583
2021-09-22,37419.25301340969
2021-09-23,37435.74108824347
2021-09-24,37451.83269898713
2021-09-25,37467.53892871355
2021-09-26,37482.87080095184
2021-09-27,37497.8382341665
2021-09-28,37512.45025620816
2021-09-29,37526.71595198046
2021-09-30,37540.64462086744
2021-10-01,37401.9927297073
2021-10-02,37408.529888721416
2021-10-03,37415.42625299267
2021-10-04,37422.68510850548
2021-10-05,37430.31352302663
2021-10-06,37438.32340763208
2021-10-07,37446.730450927804
2021-10-08,37455.551186338555
2021-10-09,37464.803339445105
2021-10-10,37474.50638174843
2021-10-11,37484.67790871784
2021-10-12,37495.33593209206
2021-10-13,37506.503559300254
2021-10-14,37518.2068116446
2021-10-15,37530.46753645082
2021-10-16,37543.303896008685
2021-10-17,37556.73794426338
2021-10-18,37570.79590030583
2021-10-19,37585.5059362824
2021-10-20,37600.89933190439
2021-10-21,37617.00976811169
2021-10-22,37633.867122942735
2021-10-23,37651.49872582089
2021-10-24,37669.93721857335
2021-10-25,37689.22002726458
2021-10-26,37709.38677885987
2021-10-27,37730.48037077083
2021-10-28,37752.54659228314
2021-10-29,37775.629009724726
2021-10-30,37799.77008851972
2021-10-31,37825.01776131555
2021-11-01,37851.42603242973
2021-11-02,37879.05372483819
2021-11-03,37907.96386762513
2021-11-04,37938.22299445674
2021-11-05,37969.897651066654
2021-11-06,38003.054955258674
2021-11-07,38037.76678668705
2021-11-08,38074.11108311261
2021-11-09,38112.17114247028
2021-11-10,38152.03709839825
2021-11-11,38193.80539828585
2021-11-12,38237.57344750338
2021-11-13,38283.440152499075
2021-11-14,38331.51141912949
2021-11-15,38381.901191780096
2021-11-16,38434.73058876659
2021-11-17,38490.12976336638
2021-11-18,38548.23741360028
2021-11-19,38609.19490503085
2021-11-20,38673.14753573823
2021-11-21,38740.25119420096
2021-11-22,38810.673049200544
2021-11-23,38884.5904698742
2021-11-24,38962.19330288458
2021-11-25,39043.68378113764
2021-11-26,39129.27204617557
2021-11-27,39219.14854698706
2021-11-28,39313.49434009819
2021-11-29,39412.509350172826
2021-11-30,39516.41483650223
2021-12-01,39625.4549569195
2021-12-02,39739.88843430607
2021-12-03,39859.954541333114
2021-12-04,39985.87137535762
2021-12-05,40117.850644321414
2021-12-06,40256.10766428021
2021-12-07,40400.86091411943
2021-12-08,40552.36429677593
2021-12-09,40710.89962841159
2021-12-10,40876.68705497959
2021-12-11,41049.8773719382
2021-12-12,41230.5874595153
2021-12-13,41418.91048725574
2021-12-14,41614.93404172927
2021-12-15,41818.815769176785
2021-12-16,42030.76842453748
2021-12-17,42250.991192349014
2021-12-18,42479.57328950607
2021-12-19,42716.51571525551
2021-12-20,42961.80612188608
2021-12-21,43215.43102141117
2021-12-22,43477.44297148372
2021-12-23,43747.93923092578
2021-12-24,44026.949356823054
2021-12-25,44314.42037770517
2021-12-26,44610.265221321264
2021-12-27,44914.384039625016
2021-12-28,45226.67840620628
2021-12-29,45547.106536183535
2021-12-30,45875.66256453758
2021-12-31,46212.262400845575
